'Elapsed time','I'
'hh:mm:ss.mmm','mV'
'0:00.000',-0.007
'0:00.002',-0.007
'0:00.004',-0.007
'0:00.006',-0.006
'0:00.008',-0.006
'0:00.010',-0.006
'0:00.012',-0.006
'0:00.014',-0.007
'0:00.016',-0.013
'0:00.018',-0.021
'0:00.020',-0.029
'0:00.022',-0.029
'0:00.024',-0.028
'0:00.026',-0.029
'0:00.028',-0.032
'0:00.030',-0.033
'0:00.032',-0.032
'0:00.034',-0.029
'0:00.036',-0.022
'0:00.038',-0.013
'0:00.040',-0.004
'0:00.042',0.005
'0:00.044',0.013
'0:00.046',0.019
'0:00.048',0.019
'0:00.050',0.013
'0:00.052',0.006
'0:00.054',0.002
'0:00.056',0.002
'0:00.058',0.004
'0:00.060',0.005
'0:00.062',0.005
'0:00.064',0.004
'0:00.066',0.004
'0:00.068',0.004
'0:00.070',0.003
'0:00.072',0.003
'0:00.074',0.003
'0:00.076',0.003
'0:00.078',0.002
'0:00.080',0.002
'0:00.082',0.002
'0:00.084',0.000
'0:00.086',-0.004
'0:00.088',-0.015
'0:00.090',-0.044
'0:00.092',-0.098
'0:00.094',-0.172
'0:00.096',-0.240
'0:00.098',-0.250
'0:00.100',-0.139
'0:00.102',0.099
'0:00.104',0.351
'0:00.106',0.488
'0:00.108',0.574
'0:00.110',0.695
'0:00.112',0.763
'0:00.114',0.792
'0:00.116',0.763
'0:00.118',0.561
'0:00.120',0.323
'0:00.122',0.176
'0:00.124',0.096
'0:00.126',0.051
'0:00.128',0.033
'0:00.130',0.018
'0:00.132',0.001
'0:00.134',-0.014
'0:00.136',-0.022
'0:00.138',-0.025
'0:00.140',-0.026
'0:00.142',-0.028
'0:00.144',-0.029
'0:00.146',-0.030
'0:00.148',-0.030
'0:00.150',-0.032
'0:00.152',-0.033
'0:00.154',-0.034
'0:00.156',-0.035
'0:00.158',-0.036
'0:00.160',-0.037
'0:00.162',-0.038
'0:00.164',-0.040
'0:00.166',-0.040
'0:00.168',-0.041
'0:00.170',-0.042
'0:00.172',-0.042
'0:00.174',-0.043
'0:00.176',-0.043
'0:00.178',-0.043
'0:00.180',-0.043
'0:00.182',-0.043
'0:00.184',-0.042
'0:00.186',-0.041
'0:00.188',-0.040
'0:00.190',-0.038
'0:00.192',-0.037
'0:00.194',-0.036
'0:00.196',-0.035
'0:00.198',-0.034
'0:00.200',-0.033
'0:00.202',-0.032
'0:00.204',-0.031
'0:00.206',-0.031
'0:00.208',-0.030
'0:00.210',-0.030
'0:00.212',-0.031
'0:00.214',-0.032
'0:00.216',-0.032
'0:00.218',-0.030
'0:00.220',-0.029
'0:00.222',-0.026
'0:00.224',-0.023
'0:00.226',-0.018
'0:00.228',-0.009
'0:00.230',0.001
'0:00.232',0.013
'0:00.234',0.028
'0:00.236',0.043
'0:00.238',0.059
'0:00.240',0.075
'0:00.242',0.091
'0:00.244',0.105
'0:00.246',0.117
'0:00.248',0.127
'0:00.250',0.133
'0:00.252',0.135
'0:00.254',0.134
'0:00.256',0.130
'0:00.258',0.122
'0:00.260',0.113
'0:00.262',0.102
'0:00.264',0.089
'0:00.266',0.076
'0:00.268',0.064
'0:00.270',0.051
'0:00.272',0.040
'0:00.274',0.030
'0:00.276',0.021
'0:00.278',0.013
'0:00.280',0.007
'0:00.282',0.002
'0:00.284',-0.001
'0:00.286',-0.004
'0:00.288',-0.006
'0:00.290',-0.009
'0:00.292',-0.010
'0:00.294',-0.010
'0:00.296',-0.011
'0:00.298',-0.011
'0:00.300',-0.011
'0:00.302',-0.012
'0:00.304',-0.011
'0:00.306',-0.012
'0:00.308',-0.013
'0:00.310',-0.012
'0:00.312',-0.011
'0:00.314',-0.012
'0:00.316',-0.012
'0:00.318',-0.012
'0:00.320',-0.012
'0:00.322',-0.012
'0:00.324',-0.011
'0:00.326',-0.012
'0:00.328',-0.012
'0:00.330',-0.011
'0:00.332',-0.011
'0:00.334',-0.011
'0:00.336',-0.011
'0:00.338',-0.011
'0:00.340',-0.011
'0:00.342',-0.011
'0:00.344',-0.011
'0:00.346',-0.010
'0:00.348',-0.009
'0:00.350',-0.009
'0:00.352',-0.009
'0:00.354',-0.009
'0:00.356',-0.009
'0:00.358',-0.008
'0:00.360',-0.007
'0:00.362',-0.007
'0:00.364',-0.007
'0:00.366',-0.007
'0:00.368',-0.006
'0:00.370',-0.006
'0:00.372',-0.006
'0:00.374',-0.006
'0:00.376',-0.005
'0:00.378',-0.005
'0:00.380',-0.005
'0:00.382',-0.005
'0:00.384',-0.005
'0:00.386',-0.005
'0:00.388',-0.004
'0:00.390',-0.004
'0:00.392',-0.005
'0:00.394',-0.005
'0:00.396',-0.005
'0:00.398',-0.004
'0:00.400',-0.004
'0:00.402',-0.004
'0:00.404',-0.005
'0:00.406',-0.005
'0:00.408',-0.005
'0:00.410',-0.005
'0:00.412',-0.005
'0:00.414',-0.005
'0:00.416',-0.006
'0:00.418',-0.006
'0:00.420',-0.006
'0:00.422',-0.006
'0:00.424',-0.006
'0:00.426',-0.006
'0:00.428',-0.006
'0:00.430',-0.007
'0:00.432',-0.006
'0:00.434',-0.007
'0:00.436',-0.007
'0:00.438',-0.007
'0:00.440',-0.007
'0:00.442',-0.007
'0:00.444',-0.007
'0:00.446',-0.007
'0:00.448',-0.007
'0:00.450',-0.007
'0:00.452',-0.007
'0:00.454',-0.008
'0:00.456',-0.008
'0:00.458',-0.008
'0:00.460',-0.008
'0:00.462',-0.008
'0:00.464',-0.008
'0:00.466',-0.007
'0:00.468',-0.007
'0:00.470',-0.008
'0:00.472',-0.009
'0:00.474',-0.008
'0:00.476',-0.008
'0:00.478',-0.007
'0:00.480',-0.008
'0:00.482',-0.008
'0:00.484',-0.008
'0:00.486',-0.008
'0:00.488',-0.009
'0:00.490',-0.009
'0:00.492',-0.009
'0:00.494',-0.008
'0:00.496',-0.009
'0:00.498',-0.008
'0:00.500',-0.009
'0:00.502',-0.007
'0:00.504',-0.008
'0:00.506',-0.008
'0:00.508',-0.008
'0:00.510',-0.007
'0:00.512',-0.008
'0:00.514',-0.007
'0:00.516',-0.007
'0:00.518',-0.007
'0:00.520',-0.006
'0:00.522',-0.006
'0:00.524',-0.005
'0:00.526',-0.006
'0:00.528',-0.006
'0:00.530',-0.009
'0:00.532',-0.016
'0:00.534',-0.025
'0:00.536',-0.029
